SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22023,1610612744,GSW,Golden State Warriors,22300362,19/12/2023,GSW vs. BOS,W,266,132,50,109,0.459,20,50,0.4,12,14,0.857,18,41,59,29,4,5,10,15,6
22023,1610612744,GSW,Golden State Warriors,22300348,17/12/2023,GSW @ POR,W,240,118,46,87,0.529,13,38,0.342,13,19,0.684,11,32,43,31,10,4,14,20,4
22023,1610612744,GSW,Golden State Warriors,22300339,16/12/2023,GSW vs. BKN,W,241,124,44,91,0.484,17,32,0.531,19,20,0.95,13,29,42,29,7,5,14,15,4
22023,1610612744,GSW,Golden State Warriors,22300325,14/12/2023,GSW @ LAC,L,241,113,40,92,0.435,16,45,0.356,17,19,0.895,16,27,43,22,8,2,11,24,-8
22023,1610612744,GSW,Golden State Warriors,22300308,12/12/2023,GSW @ PHX,L,241,116,41,92,0.446,16,46,0.348,18,27,0.667,13,38,51,26,9,1,15,28,-3
22023,1610612744,GSW,Golden State Warriors,22301222,08/12/2023,GSW @ OKC,L,266,136,49,104,0.471,19,48,0.396,19,23,0.826,24,36,60,29,3,2,28,28,-2
22023,1610612744,GSW,Golden State Warriors,22301214,06/12/2023,GSW vs. POR,W,239,110,36,86,0.419,10,34,0.294,28,33,0.848,15,35,50,20,4,3,17,19,4
22023,1610612744,GSW,Golden State Warriors,22300280,02/12/2023,GSW @ LAC,L,241,112,38,86,0.442,17,43,0.395,19,24,0.792,6,36,42,31,5,4,13,15,-1
22023,1610612744,GSW,Golden State Warriors,22300273,30/11/2023,GSW vs. LAC,W,240,120,41,82,0.5,15,39,0.385,23,31,0.742,10,37,47,30,3,4,7,18,6
22023,1610612744,GSW,Golden State Warriors,22300060,28/11/2023,GSW @ SAC,L,241,123,40,83,0.482,17,41,0.415,26,30,0.867,9,43,52,25,6,6,18,31,-1
22023,1610612744,GSW,Golden State Warriors,22300051,24/11/2023,GSW vs. SAS,W,241,118,40,81,0.494,19,42,0.452,19,24,0.792,7,34,41,35,7,2,24,21,6
22023,1610612744,GSW,Golden State Warriors,22300236,22/11/2023,GSW @ PHX,L,240,115,43,90,0.478,10,32,0.313,19,29,0.655,11,32,43,29,10,3,15,34,-8
22023,1610612744,GSW,Golden State Warriors,22300224,20/11/2023,GSW vs. HOU,W,240,121,36,77,0.468,21,43,0.488,28,33,0.848,8,35,43,26,3,1,8,21,5
22023,1610612744,GSW,Golden State Warriors,22300207,18/11/2023,GSW vs. OKC,L,266,123,44,97,0.454,18,46,0.391,17,21,0.81,14,35,49,33,6,4,16,18,-7
